epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.3047453761100769,0.00017618326819501817,4.0831618309021,0.867222249507904,1.960191011428833
1,0.643240749835968,0.0001518875069450587,2.4080379009246826,0.9566666483879089,1.4249680042266846
2,0.7694907188415527,0.00017650017980486155,1.7910348176956177,0.9731481671333313,1.182387351989746
3,0.823587954044342,0.00013188539014663547,1.4312280416488647,0.9816666841506958,0.9191221594810486
4,0.8651620149612427,6.731132452841848e-05,1.1422775983810425,0.9908333420753479,0.7756240963935852
5,0.8860185146331787,0.00015122763579711318,0.9998459219932556,0.9850000143051147,0.6860063076019287
6,0.8987731337547302,0.0001391069235978648,0.8678597211837769,0.994259238243103,0.5690230131149292
7,0.9178935289382935,0.00011565825843717903,0.7341347932815552,0.9965741038322449,0.48586800694465637
8,0.9316666722297668,8.785265526967123e-05,0.6330057978630066,0.9981481432914734,0.4296048879623413
9,0.9429166913032532,6.395643868017942e-05,0.5654112100601196,0.9984259009361267,0.39197325706481934
10,0.9486342668533325,5.1073700888082385e-05,0.5172419548034668,0.9988889098167419,0.3624816834926605
11,0.9465277791023254,0.00013099293573759496,0.4977685511112213,0.9933333396911621,0.34354326128959656
12,0.944143533706665,0.00012755206262227148,0.4788181781768799,0.9985185265541077,0.3127078115940094
13,0.9521991014480591,0.00012132712436141446,0.4356355369091034,0.9987037181854248,0.290577232837677
14,0.954745352268219,0.00011278968304395676,0.4092867374420166,0.9984259009361267,0.27196070551872253
15,0.9605324268341064,0.00010258654219796881,0.37687188386917114,0.9976851940155029,0.2557389438152313
16,0.9641898274421692,9.14906631805934e-05,0.35226839780807495,0.9990741014480591,0.23879961669445038
17,0.9681481719017029,8.034260827116668e-05,0.3271923363208771,0.9993518590927124,0.2253302037715912
18,0.9699305295944214,6.998695607762784e-05,0.30871129035949707,0.9992592334747314,0.21406379342079163
19,0.9739120602607727,6.120820034993812e-05,0.29099488258361816,0.9993518590927124,0.20415402948856354
20,0.9743055701255798,5.46714109077584e-05,0.27590879797935486,0.9984259009361267,0.19722777605056763
21,0.9783564805984497,5.087178578833118e-05,0.26022130250930786,0.9992592334747314,0.18786737322807312
22,0.9750000238418579,0.00011526407615747303,0.2614288926124573,0.9992592334747314,0.18530991673469543
23,0.9695833325386047,0.00011479866952868178,0.28004327416419983,0.9992592334747314,0.18562188744544983
24,0.9706018567085266,0.00011372131848474964,0.2728680372238159,0.9987037181854248,0.1854734569787979
25,0.9719907641410828,0.00011205251939827576,0.26872172951698303,0.9991666674613953,0.1814686506986618
26,0.9718981385231018,0.00010982405365211889,0.2684559226036072,0.9988889098167419,0.18008513748645782
27,0.9729629755020142,0.00010707830369938165,0.26027995347976685,0.9995370507240295,0.1762862205505371
28,0.9754629731178284,0.00010386753274360672,0.2509499788284302,0.9991666674613953,0.17239326238632202
29,0.975810170173645,0.000100252844276838,0.24608562886714935,0.9996296167373657,0.16813988983631134
